no.;ctmin;dev.temp;dev.treat;observer
1;3.57;19;const;jesper
2;4.1;19;const;paul
3;4.38;19;const;paul
4;3.95;19;const;paul
5;3.6;19;const;jesper
6;3.8;19;const;jesper
7;3.94;19;const;paul
8;3.92;19;const;paul
9;4.04;19;const;jesper
10;4.07;19;const;jesper
11;3.45;19;const;jesper
12;3.89;19;const;paul
13;4.28;19;const;jesper
14;3.92;19;const;paul
15;4.44;19;const;jesper
16;3.87;19;const;paul
17;4.14;19;const;jesper
18;3.68;19;const;paul
19;3.61;19;const;paul
20;4.1;19;const;jesper
21;5.13;19;fluct;jesper
22;3.75;19;fluct;paul
23;4.39;19;fluct;jesper
24;3.95;19;fluct;jesper
25;4.58;19;fluct;jesper
26;4.68;19;fluct;jesper
27;4.47;19;fluct;jesper
28;4.6;19;fluct;paul
29;3.99;19;fluct;paul
30;4.38;19;fluct;jesper
31;4.38;19;fluct;jesper
32;4.28;19;fluct;paul
33;4.33;19;fluct;paul
34;4.26;19;fluct;paul
36;4.25;19;fluct;paul
37;4.34;19;fluct;paul
38;4.39;19;fluct;paul
39;4.52;19;fluct;paul
40;4.29;19;fluct;jesper
41;4.93;23;const;paul
42;5.09;23;const;paul
43;5.1;23;const;jesper
44;5.67;23;const;paul
45;5.48;23;const;jesper
46;5.85;23;const;paul
47;4.84;23;const;jesper
48;5.98;23;const;paul
49;5.08;23;const;jesper
50;4.9;23;const;jesper
51;4.98;23;const;jesper
52;5.83;23;const;paul
53;4.7;23;const;paul
54;4.8;23;const;jesper
55;5.22;23;const;paul
56;5.06;23;const;jesper
57;5.2;23;const;jesper
58;5.06;23;const;paul
59;5.36;23;const;paul
60;4.92;23;const;jesper
61;6.02;23;fluct;paul
62;5;23;fluct;paul
63;5.86;23;fluct;paul
64;6.05;23;fluct;paul
65;5.8;23;fluct;paul
66;5.17;23;fluct;jesper
67;5.31;23;fluct;paul
68;5.39;23;fluct;jesper
69;5.34;23;fluct;jesper
70;5.2;23;fluct;paul
71;5.12;23;fluct;paul
72;5.71;23;fluct;paul
73;6.13;23;fluct;jesper
74;4.62;23;fluct;jesper
75;5.42;23;fluct;jesper
76;5.24;23;fluct;jesper
77;5.27;23;fluct;jesper
78;5.52;23;fluct;jesper
79;5.87;23;fluct;paul
80;5.37;23;fluct;jesper
